posting_yyyymm|BUKRS|awtyp|document_count
--------------|-----|-----|--------------
202602|1000|MKPF|4
202602|1000|VBRK|3
202602|6120|MKPF|2
202602|6120|VBRK|1
202602|1100|MKPF|1
202602|1100|VBRK|1
202512|6110|RMRP|4
202512|6110|MKPF|3
202510|6300|MKPF|1
202510|6200|MKPF|1
202510|1000|BKPF|1
202510|1200|BKPF|1
202507|1000|MKPF|1
202507|1200|BKPF|1
202506|5000|VBRK|1
202506|1200|BKPFF|1
202505|1000|BKPF|2
202504|1200|BKPFF|1
202504|6200|BKPF|1
202504|1200|BKPF|1
202502|6720|BKPFF|8
202502|6770|BKPF|5
202502|6720|BKPF|3
202502|6730|BKPFF|2
202502|6200|VBRK|1
202502|6200|MKPF|1
202502|6780|BKPFF|1
202502|6750|BKPF|1
202502|6760|BKPFF|1
202502|6730|BKPF|1
202502|6760|BKPF|1
202502|6750|BKPFF|1
202502|1000|MKPF|1
202502|6780|BKPF|1
202501|1000|BKPF|1
202408|1000|BKPF|2
202407|6110|MKPF|2
202406|1000|MKPF|12
202404|1100|BKPF|1
202402|1000|BKPF|1
202401|1000|BKPF|32
202401|1100|BKPF|7
202312|1100|BKPF|6
202312|1100|MKPF|4
202312|1100|VBRK|2
202311|1100|BKPF|3
202311|1100|MKPF|2
202311|1100|VBRK|1
202311|1100|RMRP|1
202309|1000|BKPF|2
202308|1000|BKPF|1
202303|2000|BKPF|1
202303|1000|BKPF|1
202212|6300|BKPFF|1
202211|9100|BKPF|11
202211|6110|MKPF|1
202211|6110|VBRK|1
202210|1000|VBRK|1
202209|6130|VBRK|2
202207|6110|MKPF|2
202205|6130|MKPF|4
202205|6130|VBRK|1
202204|6130|BKPF|10
202204|1000|RMRP|1
202204|6120|BKPF|1
202204|6200|RMRP|1
202204|1000|MKPF|1
202204|6200|MKPF|1
202110|6120|BKPF|3
202109|6120|BKPF|5
202109|6200|BKPF|2
202108|6200|BKPF|47
202108|6120|BKPF|20
202108|6200|RMRP|14
202108|6220|BKPF|4
202108|1000|MKPF|1
202107|6200|BKPF|12
202107|6120|BKPF|5
202107|6200|RMRP|4
202107|6220|BKPF|1
202106|6110|MKPF|28
202106|6200|BKPF|15
202106|6000|MKPF|2
202106|6120|MKPF|2
202106|6000|VBRK|1
202106|6120|VBRK|1
202104|6120|BKPF|7
202103|6200|VBRK|6
202103|1000|MKPF|3
202103|1000|BKPF|3
202103|6200|MKPF|2
202010|6110|MKPF|1
202009|1000|VBRK|1
202009|1000|MKPF|1
202008|6200|MKPF|2
202008|6210|MKPF|1
202006|1000|MKPF|2
202006|6200|MKPF|1
202006|6200|VBRK|1
202005|1000|VBRK|4
202005|1000|MKPF|2
202005|6110|PRCHG|2
202005|6200|VBRK|1
202004|1000|BKPFF|4
202004|6200|MKPF|2
202004|6300|MKPF|1
202004|1000|MKPF|1
202003|6200|MKPF|1
202002|1000|VBRK|1
202002|1000|BKPF|1
202002|6200|VBRK|1
202002|6200|MKPF|1
202002|6110|BKPF|1
202001|1000|MKPF|8
201910|2000|MKPF|2
201910|2000|RMRP|2
201910|6110|MKPF|1
201910|1000|MKPF|1
201904|1000|VBRK|1
201904|6200|VBRK|1
201903|6200|VBRK|4
201903|6200|MKPF|2
201903|6110|MKPF|1
201903|6110|RMRP|1
201902|6210|BKPF|2
201902|6200|BKPF|1
201812|1000|BKPFF|5
201812|3000|BKPFF|4
201812|2000|BKPFF|1
201812|1000|VBRK|1
201811|1000|MKPF|25
201811|1000|BKPF|22
201811|6200|MKPF|10
201811|3100|MKPF|8
201811|6300|MKPF|2
201811|2000|MKPF|1
201811|6210|MKPF|1
201810|1000|VBRK|2
201809|6110|VBRK|3
201809|6200|VBRK|2
201809|1000|VBRK|1
201809|1000|MKPF|1
201809|1000|PRCHG|1
201808|1000|VBRK|1
201807|1000|VBRK|9
201807|1000|MKPF|8
201807|1000|RMRP|7
201806|1000|MKPF|32
201806|1000|BKPFF|31
201806|2000|BKPFF|21
201806|3000|BKPFF|17
201806|2000|MKPF|5
201806|6200|MKPF|3
201806|1000|VBRK|1
201805|1000|BKPF|9
201805|6200|VBRK|3
201805|6200|MKPF|2
201805|1000|VBRK|1
201805|1000|MKPF|1
201805|2000|BKPF|1
201804|6200|MKPF|10
201804|6200|VBRK|5
201804|1000|MKPF|1
201804|1000|VBRK|1
201804|6110|MKPF|1
201803|1000|BKPF|3
201803|1000|MKPF|2
201803|1000|VBRK|2
201803|6110|MKPF|1
201803|6110|AUAK|1
201802|1000|BKPF|68
201801|1000|VBRK|3
201712|1000|MKPF|253
201712|1000|VBRK|234
201712|5000|MKPF|24
201712|6200|MKPF|23
201712|2000|VBRK|22
201712|5000|VBRK|20
201712|2000|MKPF|17
201712|3100|VBRK|13
201712|6200|VBRK|13
201712|6300|VBRK|12
201712|6300|MKPF|11
201712|6210|MKPF|9
201712|3100|MKPF|8
201712|3000|MKPF|6
201712|3000|VBRK|5
201712|6100|VBRK|5
201712|6110|MKPF|5
201712|6110|VBRK|5
201712|6210|VBRK|4
201712|1000|RMRP|3
201712|1000|BKPFF|3
201712|6100|MKPF|2
201711|1000|BKPF|5
201711|1000|VBRK|1
201711|6200|VBRK|1
201710|6110|BKPF|2
201709|6300|MKPF|2
201709|1000|MKPF|2
201707|1000|MKPF|2
201706|6300|MKPF|3
201705|6210|MKPF|1
201704|6110|MKPF|5
201704|1000|MKPF|4
201704|1000|VBRK|3
201703|6110|MKPF|14
201703|1000|MKPF|12
201703|6200|MKPF|7
201703|1000|BKPF|5
201703|5000|MKPF|3
201703|3000|MKPF|2
201703|3100|MKPF|2
201703|6300|MKPF|1
201703|6200|RMRP|1
201702|1000|MKPF|12
201702|6200|MKPF|2
201702|6110|MKPF|2
201702|2000|MKPF|1
201702|5000|MKPF|1
201701|1000|BKPF|2
201701|1000|VBRK|1
201612|1000|BKPF|24
201612|2000|BKPFF|8
201612|1000|BKPFF|1
201611|1000|BKPF|13
201611|1000|VBRK|2
201610|1000|MKPF|11
201610|1000|VBRK|9
201610|1000|BKPF|2
201610|6200|VBRK|1
201610|6200|MKPF|1
201609|1000|VBRK|8
201609|1000|BKPFF|4
201609|2000|BKPFF|4
201609|1000|BKPF|2
201609|1000|MKPF|1
201609|6210|VBRK|1
201608|1000|MKPF|5
201608|6200|MKPF|5
201608|5000|MKPF|2
201608|6200|VBRK|2
201608|1000|VBRK|2
201608|1000|BKPFF|2
201607|6260|BKPFF|17
201607|1000|MKPF|4
201607|6200|MKPF|2
201607|6200|VBRK|1
201607|1000|RMRP|1
201607|1000|BKPF|1
201606|6260|BKPFF|59
201606|6200|BKPF|2
201606|1000|MKPF|1
201606|1000|VBRK|1
201605|2000|BKPFF|21
201605|1000|BKPF|16
201605|1000|BKPFF|11
201605|2000|BKPF|3
201605|1000|MKPF|3
201605|6200|BKPF|3
201605|1000|VBRK|2
201605|6100|BKPF|1
201604|1000|MKPF|11
201604|1000|BKPF|4
201604|1000|VBRK|2
201604|2000|MKPF|1
201603|2000|BKPFF|23
201603|1000|BKPFF|20
201603|6200|BKPFF|16
201603|3100|BKPFF|6
201603|6110|BKPFF|5
201603|5000|BKPFF|5
201603|6300|BKPFF|3
201603|2000|MKPF|2
201603|6200|MKPF|2
201603|6210|MKPF|1
201603|5000|VBRK|1
201603|3100|MKPF|1
201602|1000|BKPFF|22
201602|2000|BKPFF|14
201602|1000|BKPF|5
201602|1000|MKPF|4
201602|1000|VBRK|2
201602|6200|MKPF|2
201602|6110|MKPF|1
201602|2000|BKPF|1
201601|1000|BKPFF|376
201601|2000|BKPFF|124
201601|6110|MKPF|51
201601|3000|BKPFF|38
201601|1000|BKPF|24
201601|6110|AUAK|12
201601|6110|VBRK|8
201601|1000|MKPF|6
201601|6110|BKPFF|2
201601|6300|BKPFF|1
201601|1000|VBRK|1
201601|6110|BKPF|1
201601|6200|MKPF|1
201512|1000|BKPFF|66
201512|6110|MKPF|40
201512|1000|BKPF|12
201512|6110|AUAK|11
