posting_yyyymm|BUKRS|billing_origin_fi_docs
--------------|-----|----------------------
202602|1000|3
202602|1100|1
202602|6120|1
202506|5000|1
202502|6200|1
202312|1100|2
202311|1100|1
202211|6110|1
202210|1000|1
202209|6130|2
202205|6130|1
202106|6120|1
202106|6000|1
202103|6200|6
202009|1000|1
202006|6200|1
202005|1000|4
202005|6200|1
202002|6200|1
202002|1000|1
201904|1000|1
201904|6200|1
201903|6200|4
201812|1000|1
201810|1000|2
201809|6110|3
201809|6200|2
201809|1000|1
201808|1000|1
201807|1000|9
201806|1000|1
201805|6200|3
201805|1000|1
201804|6200|5
201804|1000|1
201803|1000|2
201801|1000|3
201712|1000|234
201712|2000|22
201712|5000|20
201712|3100|13
201712|6200|13
201712|6300|12
201712|6100|5
201712|6110|5
201712|3000|5
201712|6210|4
201711|6200|1
201711|1000|1
201704|1000|3
201701|1000|1
201611|1000|2
201610|1000|9
201610|6200|1
201609|1000|8
201609|6210|1
201608|6200|2
201608|1000|2
201607|6200|1
201606|1000|1
201605|1000|2
201604|1000|2
201603|5000|1
201602|1000|2
201601|6110|8
201601|1000|1
201512|6110|9
201511|1000|1
201510|1000|2
201509|1000|1
201508|1000|7
201508|2000|5
201508|6200|1
201505|1000|5
201505|6110|3
201505|6200|1
201504|6110|2
201503|1000|7
201503|6110|5
201503|2000|1
201412|1000|2
201411|1000|17
201411|3100|2
201411|5000|1
201411|6300|1
201411|2000|1
201410|1000|7
201410|6200|3
201410|6300|1
201409|1000|5
201409|3000|1
201408|1000|8
201408|3000|3
201407|1000|46
201407|3100|3
201407|6200|2
201407|2000|2
201407|5000|1
201406|1000|9
201405|1000|2
201402|1000|1
201401|1000|7
201311|2000|2
201311|6200|2
201310|6200|3
201310|1000|3
201309|6110|9
201309|1000|4
201309|6200|1
201308|1000|1
201307|6110|7
201307|1000|6
201306|1000|8
201306|2000|3
201305|5000|1
201304|1000|2
201303|1000|1
201303|6200|1
201302|2000|24
201302|1000|12
201302|5000|2
201302|6200|1
201301|1000|10
201301|6200|2
201212|1000|8
201212|2000|2
201211|6200|3
201211|6210|1
201208|2000|2
201208|1000|2
201207|1000|3
201205|1000|3
201204|1000|6
201204|5000|3
201204|2000|1
201202|1000|3
201201|2000|3
201201|6200|2
201201|3100|1
201112|6200|13
201112|1000|1
201111|1000|13
201111|6200|6
201110|1000|5
201110|6200|2
201109|1000|8
201109|2000|1
201109|6200|1
201108|1000|12
201108|6200|10
201107|1000|15
201107|6200|10
201107|2000|4
201107|6210|3
201107|6300|2
201106|6200|26
201106|1000|4
201105|1000|1
201104|1000|1
201103|1000|2
201103|6200|2
201012|1000|3
201011|1000|19
201011|3000|3
201011|6200|1
201011|5000|1
201010|1000|8
201009|1000|8
201009|6200|1
201008|1000|13
201008|2000|2
201007|1000|10
201007|2000|5
201006|1000|3
201006|6200|1
201005|1000|10
201004|1000|8
201004|6200|5
201004|2000|2
201003|6200|11
201003|6300|9
201003|6210|7
201003|1000|6
201003|2000|1
201003|3100|1
201002|3100|13
201002|1000|4
201001|3100|9
201001|1000|8
200912|1000|4
200911|1000|12
200910|1000|7
200910|2000|5
200910|6200|3
200910|6300|2
200910|3100|1
200910|5000|1
200910|6100|1
200910|3000|1
200909|1000|46
200909|2000|14
200909|5000|12
200909|3000|10
200909|3100|7
200909|6200|6
200909|6210|5
200909|6100|4
200909|6300|3
200908|1000|48
200908|2000|4
200907|1000|72
200907|2000|15
200907|3100|9
200907|5000|7
200907|6300|3
200907|6200|2
200906|1000|71
200906|2000|9
200906|6200|6
200906|6100|3
200906|5000|2
200906|6300|2
200906|6210|2
200906|3100|1
200905|1000|47
200905|5000|11
200905|6200|1
200905|2000|1
200904|1000|20
200904|2000|2
200903|1000|5
200903|2000|1
