BUKRS|WAERS|BLART|open_item_count|open_doc_amount
-----|-----|-----|---------------|---------------
1000|HKD|RV|692|94825805.11
6200|RMB|RV|133|7511073.41
2000|HKD|RV|103|14759896.85
1000|HKD|DZ|69|3399360.08
2000|HKD|DR|65|243020.00
3100|RMB|RV|43|16530567.58
6110|RMB|RV|43|128143.05
1000|JPY|RV|41|11360339.96
5000|HKD|RV|32|4250681.90
1000|HKD|SA|30|3050818.10
1000|USD|RV|30|4970667.47
1000|RMB|RV|29|560769.14
6300|RMB|RV|28|7608991.80
1000|HKD|DR|27|370820.00
1000|HKD|DA|21|621351.58
1000|JPY|DZ|17|295106.00
3000|HKD|RV|16|3455641.35
1000|HKD|AB|15|61715.65
6210|RMB|RV|15|756152.20
2000|HKD|DZ|13|254414.00
1000|USD|DR|10|21500.00
1000|EUR|DR|9|13500.00
2000|HKD|DA|9|728952.90
6200|RMB|DZ|9|1278140.00
1000|HKD|SB|8|160.00
6300|RMB|DZ|8|88600.00
1000|JPY|DR|6|123100.00
1000|USD|DZ|6|103110.00
5000|USD|RV|6|335654.12
6100|HKD|RV|6|4217000.00
2000|JPY|DZ|5|11450.00
3100|JPY|RV|5|23710.00
5000|HKD|DR|5|5820.00
5000|JPY|RV|5|3006150.00
3100|RMB|DZ|4|2600.00
5000|JPY|DZ|4|784000.00
6120|RMB|DZ|4|353100.00
6210|CHF|RV|4|44833.33
1000|EUR|DZ|3|4500.00
6100|EUR|DZ|3|15000.00
6200|JPY|RV|3|351.00
9100|HKD|DR|3|16000.00
1000|EUR|AB|2|500.00
1000|EUR|RV|2|25300.00
1000|HKD|DG|2|250.00
1000|RMB|DZ|2|510.00
1100|JPY|RV|2|2000000.00
1100|VND|RV|2|5050000.00
2000|GBP|SA|2|2000.00
2000|HKD|AB|2|1334.00
2000|HKD|SA|2|37000.00
2000|JPY|RV|2|13926.31
5000|HKD|SA|2|2201000.00
6120|RMB|RV|2|64672.56
6130|RMB|RV|2|6166.67
6210|RMB|DR|2|223.00
6300|RMB|SA|2|392600.00
1000|EUR|SA|1|1000.00
1000|USD|AB|1|1000.00
1000|USD|SA|1|590.00
2000|EUR|DZ|1|5000.00
2000|EUR|RV|1|800.00
2000|GBP|DR|1|10000.00
2000|HKD|DG|1|777.00
2000|JPY|AB|1|37.16
2000|USD|DR|1|80000.00
2000|USD|RV|1|153848.00
3000|HKD|DA|1|3000.00
3000|HKD|DR|1|220.00
3100|RMB|DA|1|3100.00
3100|RMB|DR|1|220.00
5000|HKD|DA|1|5000.00
5000|HKD|DG|1|500.00
5000|HKD|DZ|1|10000.00
5000|RMB|RV|1|2000.00
6000|HKD|RV|1|5000.00
6100|EUR|RV|1|58800.00
6100|HKD|DA|1|6100.00
6100|HKD|DZ|1|2000.00
6110|HKD|RV|1|500.00
6130|HKD|RV|1|5000.00
6200|HKD|DA|1|8000.00
6200|HKD|RV|1|100.00
6200|RMB|DA|1|6200.00
6200|RMB|DR|1|220.00
6200|RMB|SA|1|4000.00
6210|RMB|DA|1|6210.00
6210|RMB|SA|1|5000.00
6210|USD|RV|1|85583.34
6300|RMB|DA|1|6300.00
6300|RMB|DR|1|587000.00
