clearing_yyyymm|BUKRS|BLART|cleared_item_count
---------------|-----|-----|------------------
202401|1000|SA|6
202401|1000|DR|5
202401|1000|DZ|5
202108|6200|SA|10
202108|6200|DZ|8
202108|6200|RV|5
202108|6200|AB|4
202108|6120|DZ|2
202108|6200|DA|1
202108|6120|DA|1
202107|6200|DA|1
202107|6200|DZ|1
202103|6200|AB|3
202103|6200|RV|3
202005|1000|AB|1
202005|1000|RV|1
201903|6200|AB|2
201903|6200|RV|2
201809|6110|AB|1
201809|6110|RV|1
201809|6200|AB|1
201809|6200|RV|1
201805|6200|AB|1
201805|6200|RV|1
201803|1000|AB|1
201803|1000|RV|1
201802|1000|AB|2
201801|1000|AB|1
201801|1000|RV|1
201704|1000|AB|2
201704|1000|RV|2
201611|1000|SA|7
201605|1000|DZ|13
201605|1000|SB|6
201605|2000|DZ|3
201605|6200|DZ|3
201605|1000|RV|2
201605|1000|AB|2
201605|1000|DA|2
201605|1000|SA|1
201605|6100|DZ|1
201602|1000|DZ|2
201602|1000|RV|1
201602|1000|DA|1
201601|1000|AB|69
201601|1000|DA|69
201601|1000|RV|3
201601|1000|DZ|2
201601|1000|SA|1
201512|1000|AB|11
201512|1000|DA|7
201512|1000|RV|2
201512|1000|SA|2
201512|6110|AB|1
201512|6110|RV|1
201508|1000|AB|1
201508|1000|RV|1
201508|2000|AB|1
201508|2000|RV|1
201503|1000|AB|1
201503|1000|DZ|1
201503|6110|AB|1
201503|6110|RV|1
201412|6200|SA|6
201412|6210|SA|4
201412|6200|AB|2
201411|1000|AB|1
201411|1000|RV|1
201410|1000|AB|1
201410|1000|RV|1
201409|1000|AB|2
201409|1000|RV|2
201408|1000|AB|1
201408|1000|RV|1
201408|3000|AB|1
201408|3000|RV|1
201407|1000|AB|3
201407|1000|RV|3
201407|3100|AB|3
201407|3100|RV|3
201406|1000|RV|4
201406|1000|AB|4
201406|1000|DA|1
201406|1000|DZ|1
201310|6200|AB|1
201310|6200|RV|1
201309|6110|AB|1
201309|6110|RV|1
201307|1000|AB|1
201307|1000|RV|1
201307|2000|RV|1
201307|2000|SA|1
201306|2000|AB|3
201306|2000|SA|3
201306|2000|DA|2
201306|2000|RV|2
201306|1000|DA|1
201306|1000|RV|1
201305|6200|RV|7
201305|6200|DZ|3
201305|6200|DR|1
201301|1000|AB|1
201301|1000|RV|1
201209|1000|DZ|37
201209|1000|DA|1
201208|1000|DZ|6
201208|1000|RV|2
201208|2000|DZ|1
201207|1000|DA|2
201207|1000|DZ|1
201207|1000|RV|1
201207|1000|AB|1
201206|1000|DA|4
201206|1000|DZ|2
201206|1000|SA|2
201205|1000|AB|2
201205|1000|RV|2
201205|1000|DA|1
201205|1000|DZ|1
201204|1000|SA|4
