posting_yyyymm|VGABE|werks|history_rows
--------------|-----|-----|------------
202602|1|6120|1
202602|1|1000|1
202512|2|6110|4
202512|1|6110|4
202510|1|6200|2
202510|8|[bla|2
202510|6|6300|1
202502|1|1000|1
202407|1|6110|3
202312|1|1100|2
202311|2|1100|1
202311|1|1100|1
202305|8|[bla|2
202207|1|6110|1
202205|1|6130|1
202204|1|6200|1
202204|1|1000|1
202204|2|6200|1
202204|2|1000|1
202109|4|[bla|1
202108|2|6200|16
202108|4|[bla|11
202107|4|[bla|4
202107|2|6200|4
202106|1|6110|28
202106|7|6110|5
202106|1|6120|1
202106|1|6000|1
202009|1|1000|1
202008|6|6200|1
202008|8|[bla|1
202008|1|6210|1
202008|1|6200|1
202005|8|[bla|8
202005|6|1000|3
202005|6|6200|1
202004|8|[bla|6
202004|6|6300|1
202004|1|6200|1
202003|1|6200|2
201910|1|2000|2
201910|2|2000|2
201910|1|1000|1
201903|2|6110|1
201903|1|6110|1
201811|1|1000|38
201811|1|6300|26
201811|1|6200|13
201811|1|3100|13
201811|1|6210|1
201811|1|2000|1
201807|2|1000|76
201807|1|1000|3
201806|1|1000|18
201806|1|6200|2
201806|1|2000|1
201805|1|6200|2
201805|1|1000|1
201804|1|6200|1
201712|1|1000|92
201712|2|1000|59
201712|1|6200|12
201712|1|6300|8
201712|1|6110|6
201712|1|6210|6
201712|1|6100|4
201712|1|2000|4
201712|1|5000|4
201712|1|3100|2
201710|1|1000|1
201709|1|6300|4
201709|1|1000|2
201707|1|1000|2
201706|6|6300|6
201706|8|[bla|4
201705|1|6210|1
201704|1|1000|2
201704|1|6110|1
201703|1|6110|107
201703|1|1000|63
201703|1|5000|17
201703|1|3100|12
201703|1|6200|7
201703|1|3000|5
201703|1|6300|1
201703|2|6200|1
201703|7|1000|1
201702|1|1000|14
201702|1|6200|2
201702|1|6110|2
201702|6|2000|1
201702|1|5000|1
201611|4|[bla|1
201609|1|1000|9
201608|1|6200|5
201608|1|1000|4
201608|8|[bla|2
201608|6|5000|1
201608|1|5000|1
201607|8|[bla|2
201607|1|1000|2
201607|6|1000|1
201607|2|1000|1
201607|1|6200|1
201604|1|1000|3
201604|8|[bla|2
201604|6|2000|1
201604|6|1000|1
201604|1|2000|1
201603|8|[bla|2
201603|6|5000|1
201602|1|6110|4
201602|1|1000|3
201602|8|[bla|2
201602|1|6200|2
201602|6|6200|1
201601|1|6110|59
201601|8|[bla|2
201601|1|6200|1
201601|6|6110|1
201512|1|6110|27
201512|2|6110|1
201511|2|6110|8
201511|2|1000|3
201510|1|1000|2
