posting_yyyymm|WERKS|BWART|movement_rows
--------------|-----|-----|-------------
202602|1000|601|3
202602|1000|101|1
202602|1100|601|1
202602|6120|601|1
202602|6120|101|1
202512|6110|101|3
202512|6110|161|1
202510|6200|101|2
202510|6300|643|1
202507|1000|201|1
202502|6200|601|3
202502|1000|101|1
202407|6110|101|3
202406|1000|344|20
202406|2000|344|16
202406|1000|411|12
202406|1000|413|8
202406|1000|343|4
202406|1000|201|2
202312|1100|601|2
202312|1100|101|2
202312|1000|601|1
202312|1000|602|1
202311|1100|601|1
202311|1100|101|1
202305|6200|601|1
202303|6130|653|1
202211|6110|601|1
202210|6210|653|1
202210|6130|653|1
202209|6130|601|1
202209|6130|653|1
202207|6110|903|1
202207|6110|101|1
202205|6130|601|2
202205|6130|101|1
202205|6130|602|1
202204|1000|101|1
202204|6200|101|1
202108|1000|601|2
202106|6110|101|28
202106|6110|543|5
202106|6110|541|4
202106|6120|601|1
202106|6000|601|1
202106|6000|101|1
202106|6120|101|1
202103|1000|601|2
202103|6200|601|1
202103|6200|602|1
202103|1000|653|1
202103|1000|654|1
202010|6110|903|1
202009|1000|601|1
202009|1000|101|1
202008|6200|101|1
202008|6200|643|1
202008|6210|101|1
202006|6200|653|1
202006|1000|653|1
202006|1000|501|1
202005|1000|643|3
202005|6200|643|1
202004|6200|413|2
202004|6200|101|1
202004|1000|501|1
202004|6300|643|1
202003|6200|101|2
202002|1000|601|2
202002|6200|601|1
202001|1000|501|6
202001|1000|511|2
202001|1000|201|1
202001|1000|561|1
201910|2000|101|2
201910|1000|101|1
201910|6110|903|1
201903|6200|601|2
201903|6110|101|1
201811|1000|101|38
201811|6300|101|26
201811|3100|101|13
201811|6200|101|13
201811|6210|101|1
201811|2000|101|1
201809|1000|413|2
201809|1000|601|1
201809|6110|601|1
201807|1000|601|8
201807|1000|101|3
201806|1000|413|34
201806|1000|101|16
201806|2000|413|8
201806|1000|601|3
201806|6200|101|2
201806|1000|102|2
201806|6200|413|2
201806|2000|101|1
201805|6200|101|2
201805|6200|601|1
201805|1000|101|1
201805|1000|602|1
201804|6200|601|9
201804|6200|101|1
201804|6110|101|1
201804|1000|601|1
201803|1000|413|4
201803|1000|601|2
201803|6110|903|1
201802|1000|413|4
201802|1000|601|1
201801|1000|601|2
201712|1000|601|378
201712|1000|101|92
201712|5000|601|32
201712|6300|601|25
201712|2000|601|20
201712|3100|601|18
201712|6200|601|16
201712|1000|651|13
201712|6200|101|12
201712|6210|601|9
201712|6300|101|8
201712|6110|601|6
201712|6110|101|6
201712|3000|601|6
201712|6210|101|6
201712|3000|413|4
201712|5000|101|4
201712|1000|413|4
201712|2000|101|4
201712|6100|101|4
201712|3100|101|2
201712|6200|413|2
201712|5000|413|2
201712|6200|651|2
201712|5000|602|1
201712|6100|601|1
201712|1000|653|1
201711|1000|601|1
201710|1000|101|1
201709|6300|101|4
201709|1000|101|2
201707|1000|101|1
201707|1000|102|1
201706|6300|643|4
201706|6300|644|2
201705|6210|101|1
201704|6110|905|3
201704|1000|101|2
201704|1000|601|2
201704|1000|602|2
201704|6110|101|1
201704|6110|262|1
201703|6110|101|107
201703|1000|101|63
201703|5000|101|17
201703|3100|101|12
201703|6200|101|7
201703|3000|101|5
201703|1000|541|2
201703|1000|543|1
201703|6300|101|1
201702|1000|101|13
201702|6200|101|2
201702|6110|101|2
201702|2000|643|1
201702|5000|101|1
201702|1000|161|1
201611|1000|702|2
201611|1000|601|2
201610|1000|601|14
201610|6200|601|1
201609|1000|101|9
201609|3100|601|1
201608|1000|601|5
201608|6200|101|5
201608|6200|601|5
201608|1000|101|4
201608|6200|413|2
201608|5000|101|1
201608|5000|643|1
201607|1000|101|1
201607|1000|122|1
201607|1000|643|1
201607|1000|561|1
201607|6200|601|1
201607|6200|101|1
201606|1000|602|1
201605|1000|551|2
201605|1000|601|1
201605|1000|561|1
201605|1000|602|1
201604|1000|413|8
201604|1000|411|6
201604|1000|101|3
201604|2000|411|2
201604|1000|643|1
201604|1000|601|1
201604|2000|101|1
201604|2000|643|1
201603|2000|601|2
201603|2000|413|2
201603|6300|601|1
201603|6200|601|1
201603|3100|601|1
201603|5000|643|1
201603|6210|601|1
201603|3000|601|1
201603|6200|602|1
201602|6110|101|4
201602|1000|601|3
201602|1000|101|3
201602|6200|101|2
201602|6200|643|1
201602|6200|601|1
201601|6110|101|59
201601|6110|905|46
201601|6110|903|13
201601|6110|601|8
201601|6110|311|6
201601|1000|601|4
201601|1000|561|2
201601|6110|643|1
201601|6200|101|1
201601|6110|602|1
201512|6110|101|27
201512|6110|905|21
201512|6110|903|10
201512|6110|601|8
201512|6110|602|1
201511|1000|601|1
201510|1000|413|2
201510|1000|101|1
201510|1000|601|1
201510|1000|102|1
201509|1000|101|7
201509|1000|161|3
201509|1000|162|2
201509|1000|102|2
201509|1000|903|2
201509|1000|601|2
201509|6200|101|1
201509|6110|903|1
201508|6110|905|8
201508|1000|601|8
201508|6110|903|4
201508|1000|602|3
201508|6200|101|2
201508|6200|601|1
201508|1000|643|1
201507|6110|905|12
201507|6110|262|6
201507|6110|101|1
201506|6110|905|4
201506|6110|903|2
201506|6110|561|2
201506|6110|201|1
201505|1000|101|136
201505|6110|101|54
201505|6110|905|14
201505|2000|101|9
201505|6110|311|8
201505|1000|601|7
201505|6110|561|6
