WERKS|NAME1|LGORT|material_rows|unrestricted_stock|quality_stock|blocked_stock
-----|-----|-----|-------------|------------------|-------------|-------------
6110|DG Grandlead Machinery|3G|91|74687.450|.000|.000
1000|Pro-Technic Machinery Ltd|3G|206|62870.913|1.000|104.000
1000|Pro-Technic Machinery Ltd|1G9Z|272|36230.000|302.000|1048.000
5000|Pro-Technic (MCO) Ltd|3G|18|7271.000|.000|.000
6200|GZ Pro-Technic Ltd|3G|49|6707.000|.000|52.000
2000|Polywell Machinery Ltd|3G|26|5412.000|.000|.000
6300|Pro-Technic (SZ) Ltd|3G|29|5338.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|3G|15|5290.000|.000|.000
3000|Grandtech Machinery Ltd|3G|8|5113.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|3G|12|5078.000|.000|.000
6100|Grandlead Machinery Ltd|3G|3|5007.000|.000|.000
2000|Polywell Machinery Ltd|1G9Z|66|2728.000|.000|3.000
1000|Pro-Technic Machinery Ltd|6111|3|2312.000|.000|.000
6110|DG Grandlead Machinery|PGM|123|2165.000|.000|.000
1000|Pro-Technic Machinery Ltd|2G9Z|26|1520.000|.000|.000
1000|Pro-Technic Machinery Ltd|9111|7|1301.000|.000|.000
6200|GZ Pro-Technic Ltd|1G9Z|33|1227.000|.000|1.000
6110|DG Grandlead Machinery|PGS3|8|700.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|1G9Z|26|621.000|.000|1.000
1000|Pro-Technic Machinery Ltd|3J|17|495.500|.000|.000
5000|Pro-Technic (MCO) Ltd|1G9Z|30|456.000|.000|1.000
1000|Pro-Technic Machinery Ltd|AJ9Z|6|407.000|.000|.000
1000|Pro-Technic Machinery Ltd|5111|8|361.000|.000|.000
1000|Pro-Technic Machinery Ltd|3G9Z|19|290.000|.000|.000
6300|Pro-Technic (SZ) Ltd|1G9Z|43|282.000|1.000|6.000
3000|Grandtech Machinery Ltd|1G9Z|24|258.000|.000|1.000
6100|Grandlead Machinery Ltd|1G9Z|17|200.000|.000|1.000
6210|GZ Pro-Technic Ltd - DG Branch|1G9Z|22|183.000|.000|1.000
1000|Pro-Technic Machinery Ltd|PGS3|6|167.000|.000|.000
2000|Polywell Machinery Ltd|3G9Z|3|113.000|.000|.000
6120|?力智能科技(?州)有限公司|3G|2|99.000|.000|.000
1000|Pro-Technic Machinery Ltd|4111|9|98.000|.000|.000
6200|GZ Pro-Technic Ltd|PGS3|7|82.000|.000|.000
6110|DG Grandlead Machinery|PC|74|64.000|.000|.000
6200|GZ Pro-Technic Ltd|PGS1|1|41.000|.000|.000
1000|Pro-Technic Machinery Ltd|E311|5|37.000|.000|2.000
6110|DG Grandlead Machinery|DG|11|21.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|6111|2|20.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|PGS1|2|20.000|.000|.000
1000|Pro-Technic Machinery Ltd|BP9Z|2|12.000|.000|.000
6300|Pro-Technic (SZ) Ltd|PGS3|1|11.000|.000|.000
2000|Polywell Machinery Ltd|2G9Z|6|10.000|.000|.000
2000|Polywell Machinery Ltd|AJ9Z|1|10.000|.000|.000
1000|Pro-Technic Machinery Ltd|PGS1|1|10.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|4111|1|10.000|.000|.000
6110|DG Grandlead Machinery|DS|1|10.000|.000|.000
1100|Pro-Technic Intel. (VN)|3G|1|8.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|CNE|1|5.000|.000|.000
2000|Polywell Machinery Ltd|AA00|1|4.000|.000|8.000
1000|Pro-Technic Machinery Ltd|C3A1|4|3.000|.000|.000
5000|Pro-Technic (MCO) Ltd|3G9Z|3|3.000|.000|.000
1000|Pro-Technic Machinery Ltd|4H|2|3.000|.000|.000
6300|Pro-Technic (SZ) Ltd|DG|1|3.000|.000|.000
1000|Pro-Technic Machinery Ltd|CBA9|3|2.000|.000|.000
5000|Pro-Technic (MCO) Ltd|2G9Z|3|2.000|.000|.000
1000|Pro-Technic Machinery Ltd|C911|2|2.000|.000|.000
1000|Pro-Technic Machinery Ltd|C511|2|2.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|BP9Z|2|2.000|.000|.000
6200|GZ Pro-Technic Ltd|4H|2|2.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|7111|1|2.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|3G9Z|1|2.000|.000|.000
6100|Grandlead Machinery Ltd|3G9Z|1|2.000|.000|.000
6200|GZ Pro-Technic Ltd|3G9Z|1|2.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|PGS3|1|2.000|.000|.000
6300|Pro-Technic (SZ) Ltd|3G9Z|1|2.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|3G9Z|1|2.000|.000|.000
3000|Grandtech Machinery Ltd|3G9Z|1|2.000|.000|.000
1000|Pro-Technic Machinery Ltd|C1A9|6|1.000|.000|102.000
1000|Pro-Technic Machinery Ltd|EB11|5|1.000|.000|.000
6100|Grandlead Machinery Ltd|2G9Z|4|1.000|.000|.000
1000|Pro-Technic Machinery Ltd|CE31|2|1.000|.000|.000
1000|Pro-Technic Machinery Ltd|C2A9|2|1.000|.000|100.000
1000|Pro-Technic Machinery Ltd|7111|2|1.000|.000|.000
1000|Pro-Technic Machinery Ltd|BJ|1|1.000|.000|.000
1000|Pro-Technic Machinery Ltd|C611|1|1.000|.000|.000
1000|Pro-Technic Machinery Ltd|OH|1|1.000|.000|.000
3000|Grandtech Machinery Ltd|4111|1|1.000|.000|.000
3000|Grandtech Machinery Ltd|BP9Z|1|1.000|.000|.000
2000|Polywell Machinery Ltd|DG|1|1.000|.000|.000
2000|Polywell Machinery Ltd|BP9Z|1|1.000|.000|.000
2000|Polywell Machinery Ltd|4111|1|1.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|BP9Z|1|1.000|.000|.000
5000|Pro-Technic (MCO) Ltd|BP9Z|1|1.000|.000|.000
6100|Grandlead Machinery Ltd|BP9Z|1|1.000|.000|.000
6200|GZ Pro-Technic Ltd|4111|1|1.000|.000|.000
6200|GZ Pro-Technic Ltd|BP9Z|1|1.000|.000|.000
6300|Pro-Technic (SZ) Ltd|BP9Z|1|1.000|.000|.000
6300|Pro-Technic (SZ) Ltd|PGS1|1|1.000|.000|.000
1000|Pro-Technic Machinery Ltd|PGM|87|.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|DG|5|.000|.000|.000
6110|DG Grandlead Machinery|PGS1|4|.000|.000|.000
6200|GZ Pro-Technic Ltd|2G9Z|3|.000|.000|.000
6300|Pro-Technic (SZ) Ltd|2G9Z|3|.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|2G9Z|2|.000|.000|.000
5000|Pro-Technic (MCO) Ltd|D111|2|.000|.000|.000
3000|Grandtech Machinery Ltd|2G9Z|2|.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|2G9Z|2|.000|.000|.000
1000|Pro-Technic Machinery Ltd|DG|2|.000|.000|.000
1000|Pro-Technic Machinery Ltd|K111|1|.000|.000|.000
1000|Pro-Technic Machinery Ltd|C411|1|.000|.000|.000
1000|Pro-Technic Machinery Ltd|CNL|1|.000|.000|.000
1000|Pro-Technic Machinery Ltd|CAA9|1|.000|.000|.000
0001|Werk 0001|0100|1|.000|.000|.000
1000|Pro-Technic Machinery Ltd|4J|1|.000|.000|.000
3000|Grandtech Machinery Ltd|C1A9|1|.000|.000|1.000
2000|Polywell Machinery Ltd|C1A9|1|.000|.000|1.000
5000|Pro-Technic (MCO) Ltd|DG|1|.000|.000|.000
6000|Grandlead Technology Ltd.|3G|1|.000|.000|.000
5000|Pro-Technic (MCO) Ltd|C1A9|1|.000|.000|1.000
5000|Pro-Technic (MCO) Ltd|9111|1|.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|DGM|1|.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|C1A9|1|.000|.000|1.000
3100|Polywell Mach. (SZ) Ltd.|5111|1|.000|.000|.000
3100|Polywell Mach. (SZ) Ltd.|AJ9Z|1|.000|.000|.000
6200|GZ Pro-Technic Ltd|C1A9|1|.000|.000|2.000
6200|GZ Pro-Technic Ltd|GZ|1|.000|.000|.000
6200|GZ Pro-Technic Ltd|PC|1|.000|.000|.000
6210|GZ Pro-Technic Ltd - DG Branch|C1A9|1|.000|.000|1.000
6130|?力智能科技(?莞)有限公司|3G|1|.000|.000|.000
6100|Grandlead Machinery Ltd|C1A9|1|.000|.000|1.000
6300|Pro-Technic (SZ) Ltd|C1A9|1|.000|.000|1.000
